#,Owning wine bottles that have superior designs makes me feel good about myself.,I enjoy seeing displays of wine bottles that have superior designs.,The design of a wine bottle is a source of pleasure for me.,Beautiful wine bottle designs make our world a better place to live.,Being able to see subtle difference in wine bottle designs is one skill that I have developed over time.,I see things in the design of a wine bottle that other people tend to pass over.,I have the ability to imagine how a wine bottle will fit in with designs of other things I already own.,I have a pretty good idea of what makes one product look better than its competitors.,Sometimes the way a wine bottle looks seems to reach out and grab me.,"If a wine bottle's design really “speaks” to me, I feel that I must buy it.","When I see a wine bottle that has a really great design, I feel a strong urge to buy it.","In selecting from many types and brands of wine available in the market, would you say that:",Do you think that the various types and brands of wine available in the market are all very alike or are all very different?,How important would it be to you to make a right choice of wine?,"In making your selection of wine, how concerned would you be about the outcome of your choice?",Wine is very important to me.,"For me, wine does matter.",Wine is an important part of my life.,I choose wine very carefully.,Which wine I buy matters to me a lot.,Choosing wine is an important decision to me.,What is your gender?,What is your age?,What is the highest degree or level of school you have completed?,What is your monthly income?,Professional or Employment status,What is your marital status?,Start Date (UTC),Submit Date (UTC),Network ID
91a6fcc6d999f30b907fd14faaa8a4f7,4,5,4,3,4,5,4,5,4,4,3,4,4,5,4,4,4,3,4,4,3,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Out of work but not currently looking for work,Single,30-12-15 16:25,30-12-15 16:29,be3dc86058
8df996a29cb1681c02be1669865ee90b,3,5,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,1,4,3,3,Female,18-29 years old,Bachelor's degree,250 - 500 euro,Employed for wages,Single,30-12-15 18:17,30-12-15 18:25,eebcf5b881
861a8cb49d0f1091024fe197c977836e,4,3,3,3,4,4,3,4,4,4,3,5,4,4,5,5,5,5,4,4,4,Female,18-29 years old,Bachelor's degree,250 - 500 euro,Employed for wages,Single,31-12-15 09:37,31-12-15 09:42,2b9ddea606
f1df2588271bcce0e34733bac0b2d33a,3,4,4,2,3,2,3,5,4,3,2,5,4,4,3,3,4,3,4,3,3,Male,18-29 years old,Doctorate degree,I don't want to answer this question,Self-employed,Single,31-12-15 09:40,31-12-15 09:43,1817b4f3ed
9cd5e809d3f3178375414ab48aa2dc6e,3,4,2,2,2,4,2,4,2,1,1,4,5,4,4,3,3,3,4,3,3,Female,18-29 years old,Master's degree,250 - 500 euro,Employed for wages,I don't want to answer this question,31-12-15 09:43,31-12-15 09:48,c92d80bf6d
c8c5c3ffe0ec702571e87834f18089b7,4,5,5,3,5,5,2,5,3,4,3,4,3,3,3,4,4,3,4,4,4,Male,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,Out of work but not currently looking for work,Single,31-12-15 09:45,31-12-15 09:49,df2b2963a9
c817ecb452df113ce89728838e13eef7,2,4,4,2,3,3,3,3,4,4,4,4,5,4,3,5,4,4,3,3,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",0 - 250 euro,Out of work and looking for work,Single,31-12-15 09:45,31-12-15 09:51,ede5d5a5f3
edd837996a54ee2efa0718fbd8a0e09c,4,5,4,3,4,5,5,4,5,5,5,5,4,4,5,5,5,3,5,5,4,Female,18-29 years old,Bachelor's degree,250 - 500 euro,Out of work and looking for work,Single,31-12-15 09:57,31-12-15 10:03,ab7621621a
86015e61a26d86f8811715c90772426b,4,4,4,3,3,4,3,4,4,4,4,4,3,5,4,5,5,5,4,4,4,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,Single,31-12-15 10:00,31-12-15 10:06,23560c8401
9814d5130958fcfd77720952732305b6,4,4,4,4,2,2,2,2,4,3,4,3,3,4,3,3,2,3,3,3,3,Female,18-29 years old,Master's degree,2000 euro or more,Employed for wages,Single,31-12-15 10:09,31-12-15 10:12,f228941e8c
c8f780f4cce3b40047d8fe5709a6f0b5,1,1,1,1,1,1,1,4,3,2,2,5,5,5,4,1,2,1,5,4,3,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,Single,31-12-15 10:05,31-12-15 10:15,e138291b65
73b5d44ed5139ccc22b0956ccc580544,4,3,4,2,3,2,3,3,4,2,1,5,2,4,4,1,3,2,2,3,3,Male,18-29 years old,Bachelor's degree,I don't want to answer this question,I don't want to answer this question,Single,31-12-15 09:28,31-12-15 10:53,a1af1cefa2
8a7e90829e4ab97f84a9b751f13f2546,5,5,4,2,2,2,2,2,2,3,4,4,4,3,2,3,2,2,2,2,2,I don't want to answer this question,18-29 years old,"High school graduate, diploma or the equivalent",250 - 500 euro,Employed for wages,Single,31-12-15 11:48,31-12-15 11:51,f1f11b24a2
efa689f02dcff3b8f9b3ce607f68b753,5,5,5,4,4,5,5,5,4,3,3,5,4,4,4,4,3,2,4,4,4,Female,54-64 years old,Master's degree,500 - 1000 euro,Employed for wages,Married,31-12-15 12:09,31-12-15 12:14,a8236a4876
ee09ee1ee35ac51c824f9dc2e120a751,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Female,42-53 years old,Bachelor's degree,1000 - 1500 euro,Out of work but not currently looking for work,Married,31-12-15 13:03,31-12-15 13:04,e0af72b030
e20cab0475ff86830b669c2fd7f9e1f7,1,2,3,1,2,2,1,4,4,4,4,4,2,4,4,3,4,3,2,2,3,Female,18-29 years old,"High school graduate, diploma or the equivalent",250 - 500 euro,Employed for wages,Single,31-12-15 13:26,31-12-15 13:33,16eed4aa02
5b5c238f2f198ebe01a5bdc6d0b73347,3,4,4,2,4,3,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",250 - 500 euro,Out of work and looking for work,Single,31-12-15 13:56,31-12-15 14:04,532a6f06cf
6c42571fbea471f63df38c3e3a74a576,3,3,3,1,3,3,2,4,3,1,2,5,5,4,5,4,5,3,5,5,5,Female,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,I don't want to answer this question,31-12-15 14:10,31-12-15 14:14,a61a1b1c20
2983b51199ee522eb09e0c58b7820e8e,2,3,3,3,3,3,3,3,4,4,4,5,5,4,4,4,4,3,4,4,4,Male,42-53 years old,Doctorate degree,2000 euro or more,Employed for wages,Married,31-12-15 16:06,31-12-15 16:10,29b2e9413b
5f4563f1b10a671737b011daf9f2e6d9,4,5,5,1,3,3,3,2,4,5,3,,1,4,4,3,3,3,3,3,3,Female,18-29 years old,Master's degree,250 - 500 euro,I don't want to answer this question,I don't want to answer this question,31-12-15 16:36,31-12-15 16:44,8d1c8228f7
007c142f7502426f4c4e6af8b874cb5d,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,Male,42-53 years old,Master's degree,2000 euro or more,Employed for wages,Married,01-01-16 07:47,01-01-16 07:49,06098eef28
809461dddcf11eeab27680078a6d9e9c,3,4,4,1,5,3,2,3,5,5,4,5,4,5,5,5,5,5,4,4,4,Female,18-29 years old,Bachelor's degree,1500 - 2000 euro,Employed for wages,Single,01-01-16 14:38,01-01-16 14:42,b6dde9b1ed
8ff982422dc30e41ee386df7633c421b,3,4,4,2,3,3,3,4,5,5,5,4,5,4,4,3,3,3,2,3,3,Female,18-29 years old,"High school graduate, diploma or the equivalent",500 - 1000 euro,Unable to work,Single,01-01-16 14:52,01-01-16 14:56,b41f3ba36d
a4fb23ad3c6760e62cf618bafba48660,3,4,4,3,3,3,2,3,4,2,2,3,2,1,4,1,1,1,1,1,1,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Out of work but not currently looking for work,Single,01-01-16 21:31,01-01-16 21:51,bf8948f9e5
a95c77254c8929de5f3917ca6d3bff03,5,5,4,3,2,3,2,4,5,4,3,5,2,4,3,4,5,4,4,4,4,Male,18-29 years old,Bachelor's degree,1000 - 1500 euro,Employed for wages,Married,02-01-16 14:02,02-01-16 14:08,ae3bb5228d
b8230a962e484fdadeba4cd4c8aea9e3,4,4,4,5,4,3,3,4,5,4,5,4,4,5,4,3,2,3,4,4,4,Male,42-53 years old,Professional degree,2000 euro or more,Employed for wages,Married,03-01-16 10:32,03-01-16 10:43,bf2c915d1c
8b57a3c82158022d84a0a5443238059c,5,5,4,3,5,3,4,4,5,4,4,5,5,5,3,5,5,4,5,5,5,Female,42-53 years old,Master's degree,500 - 1000 euro,Employed for wages,Single,03-01-16 10:38,03-01-16 10:44,41c4b85f9b
30a41babc3d52ca4cfb30f2920778e22,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,2,Female,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,I don't want to answer this question,I don't want to answer this question,03-01-16 13:45,03-01-16 13:49,619ed795ae
6794aa63bfdcc799795f64c367469e72,4,5,4,5,4,5,5,5,5,5,5,5,4,5,3,5,5,5,5,4,5,Female,18-29 years old,Master's degree,1000 - 1500 euro,Self-employed,Single,03-01-16 13:52,03-01-16 13:56,7e030dddf6
ee7a00dd594aeb39c49436519048a9f0,4,4,3,2,2,3,2,3,4,5,5,4,5,3,4,3,3,3,3,4,3,Female,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,I don't want to answer this question,Single,03-01-16 14:28,03-01-16 14:32,06436a82ca
75ec5affe22b4a9b16ce76e031384f5b,4,3,3,1,2,2,1,2,4,3,3,5,4,4,4,3,3,3,3,3,3,Female,under 18 years ,"High school graduate, diploma or the equivalent",0 - 250 euro,I don't want to answer this question,I don't want to answer this question,03-01-16 14:51,03-01-16 14:55,20f271e2fe
6a745161eb294a655c121567bc433e91,4,5,5,4,3,2,3,3,5,4,4,4,4,5,4,4,4,4,4,5,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",0 - 250 euro,I don't want to answer this question,Single,03-01-16 15:05,03-01-16 15:09,e7de868a14
ae6bfd4a69bb1a9451c3e49207d62345,2,4,2,1,3,1,3,3,1,1,1,3,5,4,2,2,4,1,3,2,2,Female,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,Out of work and looking for work,Single,03-01-16 15:09,03-01-16 15:12,afc30437a1
80905211aa921cb82e0ffde51355fb6a,3,4,4,3,3,3,3,4,3,,2,4,3,4,4,3,2,4,3,4,4,Female,30-42 years old,Master's degree,250 - 500 euro,Employed for wages,Married,03-01-16 15:28,03-01-16 15:36,622c7844a4
fcfea4ee224dab46639db30c2544b56f,5,5,5,3,5,3,3,5,5,3,3,5,5,4,4,4,4,2,3,3,3,Female,18-29 years old,Bachelor's degree,I don't want to answer this question,Self-employed,Single,03-01-16 15:47,03-01-16 15:50,b97d2c32b2
14e6a1cff6894b0b338255b1ed8b2684,3,4,4,2,3,2,4,4,4,3,3,5,4,4,4,4,4,4,4,4,4,Female,54-64 years old,Doctorate degree,500 - 1000 euro,Employed for wages,Married,03-01-16 15:54,03-01-16 15:59,027c244ed2
bdbe49398539d1e88ec62d40172b80c1,4,5,4,3,3,2,3,4,4,4,4,5,4,4,4,5,5,5,4,4,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,Employed for wages,Married,03-01-16 16:03,03-01-16 16:07,4fd6710a1e
9ec013f8dad2bc285c6d840f22dd50ba,4,4,4,3,,3,3,4,4,3,2,4,3,4,3,3,4,3,3,4,3,Female,18-29 years old,Bachelor's degree,250 - 500 euro,I don't want to answer this question,I don't want to answer this question,03-01-16 16:08,03-01-16 16:12,b4f9055514
a7308ce8c2f6e2434889badcc50755a7,2,3,3,1,3,3,1,2,4,3,2,3,2,5,5,4,4,4,4,3,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,Employed for wages,I don't want to answer this question,03-01-16 16:19,03-01-16 16:23,7a4a11730b
1e4ef2a101263d620b15450071cbae10,3,4,2,2,1,2,3,4,3,2,2,3,2,4,4,4,4,3,3,3,4,I don't want to answer this question,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,I don't want to answer this question,I don't want to answer this question,03-01-16 16:47,03-01-16 16:50,3e2d19f635
e02501f89a6550feb6a43eef6d0c0f8f,3,4,1,2,2,1,2,4,3,4,3,2,4,3,2,2,2,2,3,2,2,Male,18-29 years old,Bachelor's degree,I don't want to answer this question,Employed for wages,Single,03-01-16 16:49,03-01-16 16:55,485fd575d5
78cd8a97d28957c3f233d4102ca5239a,4,4,4,3,4,2,2,3,4,4,4,4,5,4,4,3,4,2,3,4,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",250 - 500 euro,Out of work but not currently looking for work,Single,03-01-16 17:22,03-01-16 17:28,41298bee18
1a55eb8ec7c765b7a6ec90df75638963,5,5,5,4,3,3,1,3,5,5,5,5,3,4,4,3,5,2,4,4,4,Male,18-29 years old,Master's degree,2000 euro or more,Out of work but not currently looking for work,I don't want to answer this question,03-01-16 17:38,03-01-16 17:41,5b0b0d854d
a4b34776d6902446dfef79ffb3bcf1f2,1,3,2,1,1,1,2,3,2,2,1,5,3,1,3,,5,1,3,3,3,Male,18-29 years old,"High school graduate, diploma or the equivalent",0 - 250 euro,Out of work but not currently looking for work,Single,03-01-16 18:11,03-01-16 18:19,21c11155ae
74c832c73e50dfad09e39a3a9599b607,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,4,Female,18-29 years old,Bachelor's degree,1500 - 2000 euro,Out of work but not currently looking for work,Single,03-01-16 18:36,03-01-16 18:41,af2fc63981
a6c8485d32e817e723b0cbecc0b93f57,3,3,3,1,1,,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,Female,18-29 years old,"High school graduate, diploma or the equivalent",250 - 500 euro,Out of work and looking for work,I don't want to answer this question,03-01-16 19:48,03-01-16 19:51,55d1d7ad5c
9c86d691239cf3dd9578ec98ad642e70,3,3,2,1,,4,2,1,3,2,3,4,3,5,4,4,4,4,4,4,3,Female,18-29 years old,"High school graduate, diploma or the equivalent",0 - 250 euro,Out of work but not currently looking for work,Single,03-01-16 20:21,03-01-16 20:25,13d501ac57
0374d90acfddc330309680f54bb956e5,1,3,3,1,1,1,1,4,2,1,1,3,4,3,1,2,2,1,3,3,1,Male,18-29 years old, I don't want to answer this question,I don't want to answer this question,I don't want to answer this question,Single,04-01-16 00:45,04-01-16 01:03,f155575ae7
f5300bad65f7837b294fb3d442528279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Male,30-42 years old,Bachelor's degree,0 - 250 euro,Unable to work,Single,04-01-16 06:32,04-01-16 06:34,72ebffc5d9
83f0c3681e200741f6de3166f44c289d,4,3,5,1,1,1,1,1,4,2,1,5,5,4,4,1,1,1,1,4,1,I don't want to answer this question,under 18 years ,"Some high school, no diploma",I don't want to answer this question,I don't want to answer this question,I don't want to answer this question,04-01-16 07:46,04-01-16 07:50,ca166b5ee3
afc924124d1beb2eb449e05c0bb170c3,3,4,4,3,3,3,3,3,4,3,3,4,4,5,4,3,3,3,4,3,3,Male,18-29 years old,"High school graduate, diploma or the equivalent",I don't want to answer this question,I don't want to answer this question,Single,04-01-16 12:09,04-01-16 12:14,9be0016a42
8b9d32e6b60909744961b2c91b527e42,4,3,3,3,1,1,3,4,3,3,1,3,5,4,4,1,1,1,3,3,2,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,Single,04-01-16 15:49,04-01-16 15:55,f4a6318878
314ff7f0449eaf37e3472898c0796d18,3,3,2,1,4,5,1,2,3,2,1,5,5,4,4,4,5,4,5,5,4,Female,18-29 years old,"High school graduate, diploma or the equivalent",0 - 250 euro,Out of work but not currently looking for work,Single,04-01-16 21:43,04-01-16 21:51,7a578f59c0
fa4f095867c58b6d53c42cc732a76f2f,3,4,3,2,3,2,1,3,4,2,3,4,4,4,3,3,2,3,4,4,4,Male,18-29 years old,Bachelor's degree,500 - 1000 euro,Out of work but not currently looking for work,Single,04-01-16 22:04,04-01-16 22:10,aef232ed3a
5af6f37ce2b5a77f3faef1aba6ed5437,5,5,5,5,5,4,4,4,4,4,3,5,5,5,5,5,1,4,5,5,4,Male,54-64 years old,Master's degree,1000 - 1500 euro,Self-employed,Married,05-01-16 04:22,05-01-16 04:28,e7fc56a4fd
cd22f688c15659613e61c6d9de07d1ca,4,3,2,2,1,1,1,2,2,1,1,2,3,1,2,2,2,3,1,2,1,Male,65 years and over,Bachelor's degree,250 - 500 euro,Retired,Married,05-01-16 04:31,05-01-16 04:36,8d5b531581
0694f8ee172d67fc9b9078bdc4cab89a,3,4,2,3,2,2,1,2,2,2,1,3,1,1,2,1,3,1,2,3,1,Female,18-29 years old,"Some high school, no diploma",0 - 250 euro,Out of work but not currently looking for work,Single,05-01-16 04:50,05-01-16 04:54,9d44c8a04e
f17d6ce091b8594c8c39f93dc44d085a,3,3,3,4,2,2,1,2,3,1,1,3,2,3,2,2,3,2,2,2,1,Male,30-42 years old,Bachelor's degree,500 - 1000 euro,Employed for wages,Married,05-01-16 06:21,05-01-16 06:26,f40bdb148e
1ed784ce8b6435354b02a05c378ddad6,3,4,4,3,3,3,2,3,3,4,4,2,2,3,3,3,3,1,2,2,2,Male,18-29 years old,Master's degree,500 - 1000 euro,Employed for wages,Single,05-01-16 06:50,05-01-16 06:55,f40bdb148e
2f3dc4d2064f2c16874bfb573bf29142,4,4,4,3,4,3,2,5,5,5,5,5,5,4,4,4,1,4,5,4,4,Female,42-53 years old,Professional degree,1000 - 1500 euro,Employed for wages,Married,05-01-16 07:14,05-01-16 07:23,8303baaf5b
